Sr.No,Mobile Brand,Avg Rating
114,Samsung,3.6
115,Samsung,3.3
116,Motorola,2.8
117,Samsung,3.7
118,HUAWEI,3.3
119,Motorola,3.3
120,Motorola,3.8
121,Apple,2.5
122,Samsung,3.5
123,Motorola,3.1
124,Samsung,3.3
125,Samsung,3.2
126,Samsung,3.6
127,Samsung,3.8
128,Samsung,2.7
129,Samsung,3.4
130,Samsung,3.9
131,Apple,3.8
132,Samsung,3.3
133,Samsung,3.1
134,Samsung,3.5
135,Samsung,3.5
136,Samsung,3.8
137,Samsung,2.9
138,Samsung,3.6
139,Samsung,3.2
140,Samsung,3.7
141,Samsung,3.2
142,Motorola,3.5
143,Motorola,3.5
144,Samsung,3.9
145,Samsung,3.2
146,,3.9
147,Samsung,3.6
148,Samsung,3.5
149,Samsung,3.8
150,Sony,3.6
151,Sony,3.9
152,Sony,3.8
153,Samsung,3.9
154,Apple,3.8
155,Samsung,3.6
156,Motorola,3.3
157,Samsung,3.4
158,Motorola,3.4
159,Samsung,3.7
160,Samsung,2.9
161,Samsung,3.8
162,Motorola,3
163,Samsung,2.9
164,Samsung,2.5
165,Apple,4.1
166,Motorola,3.2
167,Samsung,2.9
168,Samsung,3.3
169,Motorola,3
170,Sony,3.9
171,Google,3.9
172,Apple,4.1
173,Samsung,4
174,Google,3.5
175,Google,3.4
176,Google,3.8
177,Sony,3.6
178,Samsung,3.2
179,HUAWEI,4.2
180,Motorola,4.1
181,Samsung,3.5
182,Samsung,3.7
183,Samsung,3.1
184,Motorola,3.3
185,Motorola,3.5
186,Samsung,3.6
187,Google,3.9
188,Samsung,3.9
189,Samsung,3.8
190,Apple,3.7
191,Apple,3.6
192,Google,3
193,Samsung,3.2
194,Apple,4.6
195,Samsung,3.7
196,Samsung,3.7
197,Samsung,3.8
198,Apple,3.5
199,Samsung,4
200,Samsung,3.3
201,Samsung,3.2
202,Samsung,3.6
203,Samsung,3.2
204,Samsung,5
205,Sony,3
206,Apple,3.9
207,Apple,3.5
208,Sony,3.7
209,Samsung,1
210,Apple,3.8
211,Apple,3.5
212,Apple,3.7
213,Apple,3.6
214,Apple,4.1
215,Apple,3.8
216,Samsung,3.6
217,Apple,4
218,Apple,3.8
219,Samsung,3.5
220,Samsung,3.5
221,Samsung,3.5
222,Samsung,3
223,Samsung,4
224,Samsung,3.9
225,Samsung,3.1
226,Samsung,4
227,Samsung,3.1
228,Samsung,4.1
229,Samsung,4
230,Samsung,4
231,Samsung,3.6
232,Samsung,3.7
233,Samsung,2.5
234,Samsung,3.5
235,Samsung,2.8
236,Samsung,3.5
237,Sony,4
238,Samsung,4.1
239,Samsung,5
240,HUAWEI,3.2
241,Motorola,3.8
242,Samsung,4.1
243,Samsung,4
244,Sony,3.6
245,Apple,3.5
246,Samsung,3.6
247,Samsung,3.7
248,Motorola,4.1
249,Apple,3.8
250,Samsung,3.5
251,Nokia,3.7
252,Samsung,3.2
253,Samsung,3.7
254,Samsung,3.8
255,Samsung,2.9
256,Samsung,2.4
257,Google,3.3
258,Samsung,3.7
259,Samsung,3.2
260,Google,2.9
261,Samsung,3.9
262,Motorola,3.2
263,Samsung,3.7
264,Motorola,4.2
265,Apple,3.8
266,Google,3.2
267,Apple,3.5
268,Samsung,2.5
269,Apple,3.9
270,Samsung,1
271,Samsung,4.5
272,Samsung,4.2
273,Samsung,3.6
274,Samsung,5
275,HUAWEI,4.1
276,Sony,3.8
277,Samsung,2.8
278,Motorola,4.4
279,Motorola,4.5
280,Motorola,4.1
281,Motorola,3.5
282,Motorola,3.9
283,Samsung,3.9
284,Samsung,2.9
285,Nokia,3
286,Samsung,5
287,Nokia,3.4
288,Nokia,3.1
289,Samsung,4.1
290,Sony,3.7
291,Motorola,3.7
292,Samsung,4.4
293,Samsung,5
294,Samsung,3.6
295,Samsung,2.6
296,Samsung,3.7
297,Samsung,3.8
298,Samsung,3.3
299,Apple,3.8
300,Samsung,4.1
301,Google,4
302,Google,4
303,Google,4.1
304,Google,3.7
305,Nokia,4
306,Nokia,3.7
307,Samsung,3.9
308,Apple,4.1
309,Samsung,4.1
310,Google,3.5
311,Google,3.7
312,Samsung,4
313,Apple,4
314,Apple,3.9
315,Apple,4
316,Apple,4
317,Apple,4
318,Apple,4.2
319,Apple,3.9
320,Apple,3.8
321,HUAWEI,3.3
322,Samsung,3.2
323,Samsung,4
324,Apple,4.2
325,Samsung,4
326,Apple,3.6
327,Apple,2.1
328,Apple,3.6
329,Samsung,2.5
330,Samsung,3.3
331,Apple,3.8
332,Samsung,3.8
333,Sony,3.8
334,Sony,3.8
335,Samsung,4
336,Google,3.7
337,Samsung,4.2
338,Samsung,4
339,Samsung,3.9
340,Apple,3.2
341,Samsung,4
342,Google,3.7
343,Motorola,3.5
344,Apple,5
345,Apple,3.3
346,Samsung,3.9
347,ASUS,3.5
348,HUAWEI,4.3
349,Sony,3.7
350,Samsung,3.2
351,Google,4.1
352,Google,4.1
353,HUAWEI,2.6
354,Samsung,4.1
355,Apple,3.9
356,HUAWEI,4.4
357,Google,3.3
358,Google,4
359,Google,4.1
360,Nokia,3.8
361,Nokia,3.8
362,HUAWEI,3.9
363,Samsung,3.3
364,Samsung,4.3
365,Samsung,2.4
366,Samsung,2
367,HUAWEI,3
368,Samsung,3.9
369,Sony,3.9
370,Samsung,4.3
371,Samsung,3.5
372,Samsung,3.8
373,Samsung,3.8
374,Samsung,4.2
375,Samsung,3.6
376,Samsung,4.4
377,Samsung,2.7
378,Samsung,3.9
379,Samsung,3.9
380,HUAWEI,3.7
381,Motorola,4.1
382,Samsung,3.1
383,Sony,4.5
384,Google,3.5
385,Samsung,4.1
386,Samsung,4
387,HUAWEI,4.4
388,Samsung,4.1
389,HUAWEI,3.5
390,Apple,4.2
391,Samsung,3.2
392,Motorola,3.8
393,Motorola,4.1
394,Motorola,3.8
395,Samsung,2.1
396,ASUS,4.3
397,HUAWEI,4.3
398,Google,4.2
399,Apple,3.9
400,Apple,4.4
401,Apple,3.9
402,OnePlus,1
403,OnePlus,4.4
404,Nokia,3.5
405,Nokia,3.9
406,Sony,4.1
407,Samsung,4.3
408,Samsung,5
409,Samsung,4.2
410,HUAWEI,4
411,Xiaomi,5
412,Samsung,3.8
413,Apple,5
414,Sony,4
415,Xiaomi,4.2
416,Motorola,2
417,Nokia,2.9
418,Samsung,3.7
419,Samsung,4
420,Samsung,4.1
421,Samsung,3
422,Apple,4
423,Motorola,3.8
424,Xiaomi,4.2
425,Samsung,3.2
426,Xiaomi,4.3
427,Samsung,3.4
428,Samsung,4.3
429,Samsung,4.4
430,Samsung,3.8
431,Motorola,3
432,Samsung,4.1
433,Samsung,4.2
434,Samsung,4.4
435,Xiaomi,4.5
436,Samsung,4.1
437,ASUS,5
438,Motorola,3.6
439,Samsung,3.6
440,Samsung,4.8
441,Samsung,3.8
442,ASUS,2.8
443,Samsung,3.2
444,Samsung,3.4
445,Xiaomi,4.3
446,Samsung,3.6
447,Sony,4.1
448,Xiaomi,4.1
449,Samsung,4.1
450,Samsung,4.1
451,Motorola,3.8
452,Samsung,3.2
453,Samsung,1
454,Samsung,3.3
455,Nokia,3.3
456,Samsung,4.2
457,Motorola,3.2
458,Nokia,3.7
459,Xiaomi,4.3
460,Google,4
461,Apple,3.7
462,Google,3.9
463,Motorola,5
464,Sony,3.9
465,Motorola,4
466,Samsung,3.6
467,Motorola,3.5
468,HUAWEI,4.4
469,Samsung,4
470,Samsung,3.6
471,Motorola,3.9
472,HUAWEI,4
473,,3.9
474,Samsung,3.9
475,Samsung,4.1
476,Xiaomi,4.5
477,HUAWEI,4.5
478,Samsung,5
479,Google,3.8
480,Samsung,3.2
481,Samsung,4.2
482,Samsung,3.9
483,HUAWEI,4.6
484,Samsung,4
485,Google,4.5
486,Samsung,3.3
487,Samsung,3.4
488,Xiaomi,4
489,OnePlus,4.2
490,Samsung,4.2
491,Samsung,4.5
492,Apple,4.1
493,Google,3.1
494,Samsung,3.6
495,Apple,3.9
496,Samsung,3.7
497,Samsung,4.3
498,Samsung,4.1
499,Samsung,4.1
500,Samsung,3.8
501,Google,1.4
502,Nokia,2.7
503,Samsung,3.2
504,Nokia,3.4
505,Samsung,4.7
506,Samsung,3.6
507,Motorola,4.1
508,Motorola,4.1
509,Samsung,3.8
510,Motorola,4.2
511,HUAWEI,4.5
512,Motorola,4.1
513,Sony,3.5
514,Nokia,3.8
515,Samsung,4.2
516,Nokia,3.9
517,Xiaomi,4.3
518,Motorola,5
519,Motorola,4.1
520,Motorola,3.1
521,Motorola,4.1
522,Samsung,4.3
523,Google,4.6
524,HUAWEI,4.2
525,Google,3.8
526,Samsung,1
527,Motorola,4.1
528,Motorola,4
529,Motorola,4
530,Samsung,3.8
531,Samsung,1
532,Samsung,5
533,Motorola,5
534,Samsung,4.4
535,Samsung,4
536,Samsung,5
537,Motorola,4.2
538,Samsung,3.9
539,Samsung,4.5
540,Samsung,4.3
541,Samsung,4.4
542,Samsung,4.5
543,Samsung,5
544,Apple,4.4
545,Google,4
546,Samsung,4
547,Samsung,5
548,Samsung,4
549,Samsung,4.4
550,Sony,4.5
551,HUAWEI,4
552,OnePlus,4.3
553,Motorola,3.7
554,Nokia,3.3
555,Samsung,3.6
556,Samsung,4.2
557,HUAWEI,3.4
558,Xiaomi,4.4
559,Xiaomi,4.4
560,Motorola,4
561,Xiaomi,4.5
562,HUAWEI,4.2
563,HUAWEI,4.5
564,Xiaomi,4.5
565,Apple,3.6
566,Samsung,4.2
567,Xiaomi,4.3
568,Samsung,4.1
569,Xiaomi,4.4
570,Samsung,3.3
571,Xiaomi,4.4
572,Samsung,4.3
573,Motorola,2.9
574,Samsung,4
575,Xiaomi,4.4
576,Samsung,4.1
577,Xiaomi,4.5
578,Samsung,3.7
579,Samsung,4.1
580,Samsung,4.3
581,HUAWEI,4.3
582,Xiaomi,4.1
583,Samsung,4
584,Motorola,4.3
585,Motorola,3.7
586,Samsung,3.7
587,Samsung,4.2
588,Samsung,3.5
589,Samsung,4.2
590,Nokia,3.3
591,Motorola,3
592,HUAWEI,4.6
593,HUAWEI,5
594,Xiaomi,4.5
595,Samsung,5
596,Xiaomi,4.7
597,Google,4.3
598,Motorola,3.7
599,OnePlus,4.4
600,Apple,4.1
601,Motorola,4
602,Motorola,2.9
603,Motorola,2.9
604,Samsung,4.1
605,Apple,4.2
606,Samsung,3.8
607,Samsung,3.9
608,Motorola,1
609,Motorola,3.7
610,Apple,3.9
611,Samsung,4.4
612,Samsung,4.5
613,HUAWEI,4.4
614,OnePlus,4.5
615,Samsung,5
616,Samsung,4
617,Motorola,4.3
618,Samsung,4.2
619,Samsung,4.2
620,Samsung,3.8
621,Motorola,5
622,Samsung,3.3
623,Samsung,3
624,Samsung,3.3
625,Motorola,1
626,Samsung,1
627,Samsung,3.3
628,Samsung,3.3
629,Samsung,3.1
630,Samsung,1.5
631,Apple,2.2
632,Nokia,3.6
633,,3.8
634,Motorola,4.5
635,Xiaomi,4.5
636,Nokia,3.4
637,Xiaomi,4.1
638,Samsung,5
639,Samsung,4.1
640,Samsung,1
641,Samsung,2.4
642,Motorola,4
643,Samsung,5
644,Samsung,4.5
645,OnePlus,4.4
646,Samsung,4.3
647,Samsung,4.7
648,Xiaomi,4.5
649,Xiaomi,4.5
650,Samsung,3.9
651,Samsung,1
652,Samsung,4.3
653,Nokia,3.4
654,Xiaomi,4.6
655,Samsung,4.5
656,HUAWEI,4.3
657,Samsung,4
658,Samsung,4.4
659,Motorola,3.6
660,Samsung,4.7
661,Google,3.1
662,Xiaomi,3.6
663,HUAWEI,4.5
664,Samsung,5
665,Motorola,3.8
666,Samsung,4.1
667,Motorola,3
668,Samsung,3.6
669,Motorola,3.9
670,Motorola,4.4
671,Samsung,4.4
672,Xiaomi,4.6
673,Motorola,3.8
674,Xiaomi,4.4
675,Xiaomi,4.5
676,Xiaomi,4.3
677,Sony,4.1
678,Motorola,5
679,Samsung,4.2
680,Motorola,4.4
681,OnePlus,4.4
682,Samsung,3.7
683,Nokia,4
684,Nokia,4.1
685,Motorola,3.1
686,Samsung,5
687,Motorola,4.3
688,Xiaomi,5
689,Xiaomi,4.7
690,Xiaomi,4.4
691,Xiaomi,4.5
692,Xiaomi,4.5
693,Google,5
694,ASUS,3.7
695,Xiaomi,4.1
696,Xiaomi,4.6
697,Google,4.2
698,Xiaomi,3.7
699,Xiaomi,4.6
700,Samsung,1
701,Samsung,3.3
702,Samsung,3.9
703,Xiaomi,4.6
704,Motorola,4.3
705,Samsung,4.5
706,Samsung,3.5
707,Samsung,2.8
708,Xiaomi,4.4
709,OnePlus,1
710,Samsung,4.4
711,Motorola,4.1
712,Xiaomi,5
713,OnePlus,3.2
714,Google,5
715,Motorola,4.1
716,Apple,5
717,Apple,1
718,Xiaomi,4.6
719,Sony,4.5
720,Apple,5
721,Samsung,568.68065,113.9339
11572,69.75765,118.3588
11573,65.74407,112.5993
11574,69.90579,118.7813
11575,67.49642,144.7324
11576,71.55734,146.4177
11577,68.87168,132.5791
11578,67.23421,117.092
11579,68.63376,119.0942
11580,68.65065,118.3285
11581,66.63756,135.3268
11582,67.87931,113.0279
11583,65.95049,144.2777
11584,69.46751,118.2912
11585,65.32821,107.3803
11586,66.76294,121.2519
11587,68.5428,117.004
11588,68.91044,142.8254
11589,68.84368,150.6553
11590,73.38937,136.7121
11591,66.86841,116.4109
11592,67.52516,107.2826
11593,68.13449,121.8903
11594,68.39998,129.8416
11595,68.75545,141.6232
11596,71.22681,118.0369
11597,69.02697,118.4175
11598,69.36506,149.4627
11599,71.48858,139.2446
11600,70.03975,139.38
11601,65.86983,115.7434
11602,64.18612,112.8632
11603,68.22537,119.4641
11604,67.57609,126.8161
11605,68.32838,125.0752
11606,69.7812,146.0231
11607,64.60544,98.10936
11608,69.35659,137.7401
11609,65.08819,129.1596
11610,67.25428,125.3354
11611,67.29744,111.402
11612,69.06367,128.8616
11613,70.66513,132.245
11614,66.34245,136.4106
11615,66.88466,133.7811
11616,69.83988,132.9299
11617,68.64288,108.615
11618,68.78708,142.8921
11619,68.36723,127.2684
11620,71.12176,119.0967
11621,68.55132,118.0137
11622,71.18105,147.7838
11623,68.32621,125.1014
11624,66.83958,117.8889
11625,69.20216,144.7944
11626,66.77853,128.7692
11627,66.4406,118.4163
11628,69.02771,136.656
11629,65.99368,145.7856
11630,68.21133,126.3564
11631,68.81559,105.3418
11632,69.54378,136.0772
11633,67.04297,120.8592
11634,69.61676,121.0389
11635,69.11044,136.6009
11636,64.55954,123.4204
11637,65.79362,132.5145
11638,68.99934,125.0189
11639,66.16092,137.0073
11640,64.3685,110.0215
11641,69.87282,124.8993
11642,66.0047,116.8211
11643,68.96687,121.3857
11644,67.76358,142.8913
11645,67.2019,118.5255
11646,67.67049,138.3916
11647,65.94121,121.8284
11648,62.62398,113.6392
11649,68.6687,148.4025
11650,64.99303,134.3959
11651,70.14061,133.8105
11652,67.33278,111.0307
11653,71.15018,127.3908
11654,68.05094,123.1092
11655,70.68057,122.0871
11656,66.92683,132.5142
11657,67.32022,121.7055
11658,65.96371,126.1179
11659,66.36048,131.4652
11660,70.09062,141.6373
11661,66.77067,114.939
11662,68.7819,128.8125
11663,68.06198,125.1513
11664,66.87471,124.1839
11665,64.991,120.5915
11666,64.24525,119.3337
11667,64.62759,117.0906
11668,67.47845,125.0172
11669,68.38035,120.3051
11670,67.9413,140.2045
11671,69.38765,120.404
11672,69.72585,141.0221
11673,64.85369,140.5568
11674,71.14569,144.9609
11675,67.93166,116.703
11676,65.8737,130.7339
11677,65.27492,120.7876
11678,64.36283,122.0425
11679,66.53787,116.5946
11680,69.52399,133.0562
11681,69.13837,139.6702
11682,67.67203,123.8558
11683,68.95441,141.2783
11684,71.04477,140.3705
11685,71.39529,149.7633
11686,66.54494,127.3852
11687,68.28091,136.24
11688,67.50144,139.3232
11689,68.29474,133.1216
11690,70.15135,125.669
11691,69.41645,135.8714
11692,69.36098,123.6386
11693,67.16252,130.6726
11694,68.53052,125.4746
11695,69.64804,116.6893
11696,66.68536,116.2552
11697,65.89405,114.064
11698,67.96456,118.3278
11699,64.66704,113.2242
11700,67.83132,131.1598
11701,69.37264,132.3018
11702,64.63475,122.2873
11703,68.45736,121.5602
11704,63.66412,121.3552
11705,68.23574,134.2459
11706,69.90933,145.0568
11707,66.34353,119.2517
11708,71.08621,131.099
11709,69.29874,113.3891
11710,69.26027,136.8925
11711,68.3563,136.5469
11712,68.82059,134.8073
11713,67.11847,123.4971
11714,70.16349,136.7408
11715,67.31192,139.7817
11716,65.99526,117.9879
11717,70.32862,133.2887
11718,66.35638,130.9393
11719,65.46699,113.0275
11720,67.06126,114.7648
11721,69.37876,133.7697
11722,68.55299,132.1181
11723,64.28602,117.6389
11724,66.98559,124.8642
11725,68.3511,129.34
11726,70.92088,138.3304
11727,65.62372,122.5121
11728,67.60294,131.5862
11729,65.45098,109.587
11730,65.9003,124.6232
11731,69.28348,142.1931
11732,69.00879,142.8201
11733,69.72132,127.0407
11734,68.26773,136.2919
11735,65.26077,107.3359
11736,66.6262,136.8962
11737,68.5705,121.4571
11738,71.51468,139.7799
11739,67.97982,121.0927
11740,68.26653,134.6471
11741,66.37001,133.1274
11742,65.56004,114.0317
11743,68.20536,128.2957
11744,70.14549,138.6955
11745,66.01422,114.0106
11746,65.59692,127.598
11747,66.31345,109.8002
11748,70.52695,151.5058
11749,65.76106,113.6272
11750,69.682,135.5456
11751,68.90157,141.6732
11752,63.87521,128.004
11753,69.44937,144.3768
11754,70.3846,166.7687
11755,69.16422,138.4332
11756,71.0881,151.926
11757,64.77026,106.4436
11758,69.03944,115.6827
11759,68.3332,121.3881
11760,67.65971,131.6348
11761,65.95743,129.7027
11762,68.25092,114.8441
11763,70.46955,127.5134
11764,69.87183,154.5964
11765,70.761,128.8214
11766,67.36771,123.046
11767,68.31548,114.5312
11768,65.10293,133.1303
11769,65.23562,107.844
11770,70.83969,136.9762
11771,68.39903,129.656
11772,68.20073,118.2019
11773,66.94098,139.2128
11774,66.07977,131.8414
11775,63.36659,123.006
11776,68.65857,126.6649
11777,67.37221,137.1801
11778,68.43509,136.8554
11779,66.22392,122.5205
11780,71.65466,141.219
11781,66.69573,125.1122
11782,66.8559,122.1614
11783,68.02755,134.7933
11784,67.70778,122.2427
11785,63.85135,120.1494
11786,69.93291,133.902
11787,65.84544,129.7101
11788,66.74059,135.5989
11789,66.49611,132.8285
11790,68.53937,136.0357
11791,68.24023,126.5821
11792,70.03063,139.0857
11793,67.70792,122.902
11794,67.72492,117.4035
11795,68.84977,133.9518
11796,68.71268,126.3643
11797,68.0793,130.2869
11798,68.30545,131.6604
11799,70.86867,126.5751
11800,68.31463,113.4925
11801,67.62648,110.1234
11802,71.14779,142.3998
11803,67.34629,107.1787
11804,66.62532,120.6675
11805,66.68854,122.4703
11806,69.90665,159.966
11807,65.51279,108.7832
11808,67.47262,117.2175
11809,66.25672,116.7766
11810,68.30086,127.6778
11811,68.31294,138.8446
11812,68.45399,108.1145
11813,68.64421,140.159
11814,65.31594,106.6611
11815,68.32665,139.0646
11816,69.77082,136.0617
11817,66.20932,133.0581
11818,68.43401,119.8631
11819,65.25387,116.2822
11820,71.7355,162.0943
11821,67.76721,148.8833
11822,70.51655,141.3628
11823,70.4336,136.7627
11824,64.25671,114.8728
11825,69.37609,128.0026
11826,71.07934,134.5151
11827,71.70178,124.1645
11828,67.3987,111.3275
11829,63.62986,113.608
11830,67.13345,116.9574
11831,68.70886,129.1443
11832,67.71809,123.3103
11833,67.72767,128.2164
11834,70.07335,132.9222
11835,64.20874,124.7975
11836,70.10636,114.9911
11837,65.16199,110.9849
11838,68.53018,125.2053
11839,69.79457,131.1487
11840,67.28489,105.2101
11841,69.49036,129.6225
11842,65.42646,111.7143
11843,66.31501,105.8468
11844,65.73484,104.5094
11845,71.30941,152.3587
11846,70.22624,147.9016
11847,68.04495,130.2388
11848,70.27278,138.2409
11849,66.97106,135.2028
11850,68.55277,123.7852
11851,66.17403,118.887
11852,71.37583,143.3104
11853,68.1764,130.5409
11854,66.28408,142.1004
11855,68.15962,113.7851
11856,70.00181,137.8272
11857,65.30659,129.8103
11858,65.67376,120.5005
11859,68.92178,119.6501
11860,67.6359,140.8418
11861,67.91694,119.803
11862,67.48812,130.9508
11863,69.30675,115.0445
11864,67.86395,132.5698
11865,65.71274,124.7391
11866,67.33136,126.6475
11867,69.31735,122.5178
11868,67.52153,136.845
11869,67.79825,120.662
11870,69.26416,131.5304
11871,66.49667,109.7068
11872,66.038,110.9574
11873,68.29789,116.7817
11874,69.05551,130.8969
11875,65.0319,133.1258
11876,69.31651,138.9581
11877,66.21304,128.8419
11878,66.18026,122.4841
11879,68.86646,120.4853
11880,67.86276,148.8508
11881,67.17639,121.491
11882,66.17,112.3456
11883,69.25778,118.8957
11884,72.80628,150.9784
11885,67.49802,145.0319
11886,68.53323,106.9801
11887,67.72701,110.8524
11888,67.403,123.071
11889,70.97371,137.9285
11890,65.88602,127.0234
11891,64.69625,116.2922
11892,65.07999,107.0743
11893,67.33598,107.7602
11894,67.17823,120.969
11895,68.2152,122.5298
11896,68.27877,120.1926
11897,70.32072,125.2459
11898,68.84149,118.773
11899,65.41384,127.5122
11900,66.90698,122.5176
11901,66.92565,109.6505
11902,72.16852,125.865
11903,67.58419,124.551
11904,71.05097,139.1868
11905,68.65329,121.3343
11906,71.13818,125.2209
11907,69.83064,113.8154
11908,69.24294,128.4726
11909,70.80795,148.2193
11910,71.4514,142.4792
11911,68.34795,137.6452
11912,66.96807,123.2171
11913,67.35193,135.7481
11914,66.3123,119.4157
11915,68.38857,153.2032
11916,68.72186,120.7069
11917,64.6156,124.8206
11918,71.04385,149.3598
11919,65.5576,112.7
11920,71.7762,137.0197
11921,67.66805,129.1137
11922,70.38662,113.1486
11923,65.05914,117.2483
11924,69.29376,144.4311
11925,68.92487,123.064
11926,73.23153,140.2285
11927,67.98518,122.4877
11928,66.02174,106.7391
11929,62.50806,121.7353
11930,67.11208,124.9627
11931,67.2525,131.7284
11932,66.86219,107.2551
11933,66.11034,111.458
11934,69.21797,134.1583
11935,66.86285,109.4149
11936,66.72363,103.4764
11937,67.91114,123.3007
11938,70.15546,129.1033
11939,65.1448,108.0862
11940,69.16116,125.1179
11941,69.14544,144.9626
11942,66.79109,114.8214
11943,68.56128,127.5046
11944,67.77908,120.1861
11945,65.8903,108.1277
11946,64.91798,117.1005
11947,65.51983,115.2811
11948,70.39488,121.3756
11949,68.71595,120.2871
11950,69.40879,142.2191
11951,63.95804,93.96913
11952,68.49986,131.1487
11953,65.03967,114.2779
11954,67.09578,123.9914
11955,70.39063,119.3835
11956,69.13445,124.7073
11957,69.81349,127.3314
11958,67.15358,107.2308
11959,66.3247,110.6354
11960,67.2547,133.9845
11961,67.30359,114.8441
11962,68.31411,126.3453
11963,66.84937,121.8716
11964,66.02415,111.5549
11965,69.15659,122.1897
11966,68.93022,109.462
11967,66.03322,102.562
11968,67.12476,120.4642
11969,70.94314,133.0277
11970,67.95293,137.02
11971,68.2514,152.4285
11972,69.5022,126.022
11973,72.63806,146.3356
11974,67.81132,131.4317
11975,71.26903,166.1956
11976,67.11464,124.0268
11977,67.08781,117.2354
11978,66.62197,140.1115
11979,69.37986,139.854
11980,65.72499,112.01
11981,68.05531,108.54
11982,71.06203,142.837
11983,67.01009,135.9007
11984,67.96128,130.9758
11985,69.62918,143.2022
11986,71.18686,128.6857
11987,67.21088,125.6535
11988,69.75744,138.2061
11989,67.93962,108.2722
11990,64.2564,119.722
11991,70.57913,130.738
11992,70.59481,124.6141
11993,69.45839,148.5158
11994,65.57668,125.7709
11995,67.43466,136.0448
11996,69.5304,133.8402
11997,68.71379,124.41
11998,64.83136,127.0468
11999,66.67627,127.5915
12000,67.08247,118.982
12001,69.6942,113.0169
12002,71.94501,119.7111
12003,67.08849,124.6879
12004,66.61029,125.0603
12005,67.39237,119.2096
12006,71.22979,137.0453
12007,68.9821,126.0012
12008,66.29932,109.1158
12009,67.58579,120.2176
12010,69.47049,140.8544
12011,67.6955,119.0652
12012,68.41184,125.8553
12013,66.40097,137.5308
12014,65.84222,117.4226
12015,65.60355,119.848
12016,68.17426,124.7243
12017,68.15865,143.2579
12018,70.33009,106.6697
12019,64.96481,107.2662
12020,70.00114,142.0097
12021,73.12757,132.9793
12022,69.52659,129.1657
12023,65.93632,114.5142
12024,68.30593,138.0436
12025,69.21721,139.1741
12026,69.04623,126.3741
12027,66.51131,122.9418
12028,68.41765,122.2372
12029,67.20049,119.9224
12030,70.56953,138.8804
12031,67.02131,120.5036
12032,60.86977,108.8633
12033,69.59968,133.8641
12034,66.90576,125.7039
12035,65.4273,104.4564
12036,65.45238,118.7077
12037,66.18847,114.58
12038,69.48939,130.0937
12039,67.59082,110.7189
12040,69.67,119.2428
12041,71.81069,132.4703
12042,70.21365,139.1803
12043,64.64602,111.6086
12044,65.31384,123.2647
12045,69.30209,143.2325
12046,67.21984,126.4004
12047,67.89698,105.7861
12048,66.44468,128.4753
12049,66.30217,125.448
12050,66.29508,123.2967
12051,71.81034,120.6109
12052,63.62293,130.8869
12053,70.64303,135.5782
12054,70.85476,131.1407
12055,69.81498,141.8795
12056,66.1487,120.3851
12057,71.03088,146.4631
12058,66.13556,114.9154
12059,65.64932,132.7519
